Depth [m],FBE5 [unitless]
,16/07/2023 05:53:18,16/07/2023 05:53:19
519.23785,725.4868,148.2554
520.25879,1154.5415,262.349
521.27979,695.0057,74.9676
522.30072,714.7578,95.5603
523.32166,751.0001,257.4994
524.34259,823.8857,363.5526
525.36359,713.5258,77.7494
526.38452,752.369,301.0139
527.40546,727.0564,147.7778
528.42645,788.3428,282.0504
529.44739,725.0003,164.5593
530.46832,1004.4164,95.3196
531.48926,998.5389,799.0007
532.51025,854.1055,513.3669
533.53119,721.9327,135.9911
534.55212,718.4124,129.0736
535.57312,722.6486,141.1652
536.59406,796.8806,361.088
537.61499,762.9555,311.5499
538.63593,732.0334,159.9475
539.65692,723.7304,155.4592
540.67786,720.8818,147.3386
541.69879,733.2985,170.9971
542.71973,717.2532,116.6439
543.74072,1112.6586,113.4356
544.76166,877.9488,496.752
545.78259,765.8488,317.088
546.80359,780.9966,305.451
547.82452,747.6819,263.4756
548.84546,850.5537,386.725
549.86639,747.4948,242.5585
550.88739,741.4263,62.0563
551.90833,791.5538,306.7014
552.92926,731.9733,222.4787
553.95026,722.7384,146.5327
554.97119,718.4617,94.654
555.99213,715.5807,112.5224
557.01306,732.4981,177.9035
558.03406,826.489,149.4468
559.05499,744.5074,239.4072
560.07593,754.0855,237.322
561.09686,727.0094,150.5482
562.11786,716.4167,118.5013
563.13879,877.3915,309.2272
564.15973,764.7291,224.9112
565.18073,1535.1993,1371.7415
566.20166,720.9161,116.3049
567.2226,751.9973,257.2936
568.24353,720.5275,131.8721
569.26453,726.2103,178.867
570.28546,712.5413,93.8824
571.3064,721.6727,140.54
572.32739,759.965,291.8613
573.34833,850.4322,128.7251
574.36926,1009.3593,129.1465
575.3902,714.7722,89.311
576.41119,730.8455,216.1741
577.43213,720.2242,132.7162
578.45306,717.3402,106.3777
579.474,791.0697,280.3724
580.495,721.3203,101.0533
581.51593,741.7868,156.8546
582.53687,805.6585,386.7324
583.55786,720.8432,120.5964
584.5788,744.1386,210.3475
585.59973,717.2264,105.3242
586.62067,728.5848,203.1521
587.64166,716.9943,122.2807
588.6626,722.9883,164.6106
589.68353,734.4396,160.4834
590.70453,713.8038,71.7686
591.72546,718.1397,118.9877
592.7464,736.267,205.8595
593.76733,720.7775,130.6159
594.78833,739.2881,231.7906
595.80927,725.7795,161.9053
596.8302,738.5589,223.2582
597.85114,718.7265,128.2056
598.87213,714.7783,91.9384
599.89307,735.7651,130.9589
600.914,745.9992,214.5747
601.935,748.3549,252.3724
602.95593,723.5114,148.0305
603.97687,714.7021,129.4948
604.9978,725.2344,136.3093
606.0188,729.5283,179.8967
607.03973,723.5647,143.6184
608.06067,940.8477,605.3826
609.08167,721.3956,131.3582
610.1026,729.3132,178.795
611.12354,760.9438,271.4057
612.14447,747.3558,225.0665
613.16547,891.6086,206.2295
614.1864,725.3216,130.6656
615.20734,714.2813,105.0987
616.22827,734.8163,199.6275
617.24927,735.4727,185.4021
618.2702,711.985,84.6694
619.29114,721.5993,143.037
620.31213,758.5652,242.2058
621.33307,714.5178,80.3037
622.354,720.9371,141.7617
623.37494,838.7892,385.1634
624.39594,1688.7195,1283.1995
625.41687,715.5589,87.1023
626.43781,738.785,202.2084
627.4588,714.3774,94.4729
628.47974,730.5522,155.2831
629.50067,739.9573,212.125
630.52161,748.4005,252.8054
631.5426,713.1755,68.2884
632.56354,719.5583,123.4247
633.58447,710.2111,62.3885
634.60541,763.5483,303.3803
635.6264,805.7482,334.7614
636.64734,737.127,205.5119
637.66827,770.3474,303.7904
638.68927,716.7283,88.1347
639.71021,733.3242,156.3185
640.73114,723.4585,174.7782
641.75208,714.438,96.9894
642.77307,714.3405,122.5851
643.79401,723.7923,168.9798
644.81494,717.4368,109.2504
645.83594,730.7863,172.0392
646.85687,721.2722,122.8698
647.87781,718.7507,108.6884
648.89874,715.6052,95.053
649.91974,736.6136,195.5226
650.94067,723.5971,155.4995
651.96161,767.5736,291.0557
652.98254,735.7796,146.3866
654.00354,829.1769,546.6334
655.02448,712.9359,95.4749
656.04541,717.9419,116.366
657.06641,721.2258,118.0875
658.08734,712.5683,82.3365
659.10828,719.0811,92.2939
660.12921,720.4598,122.715
661.15021,747.0496,206.8977
662.17114,741.8157,160.7891
663.19208,722.8836,151.2396
664.21301,733.4135,152.7712
665.23401,787.6907,352.9549
666.25494,747.082,220.7629
667.27588,720.2561,92.6672
668.29688,726.1617,172.2461
669.31781,713.3788,90.9719
670.33875,716.1385,109.0988
671.35968,752.3762,317.2219
672.38068,731.3586,171.6584
673.40161,724.1315,165.3571
674.42255,723.1774,147.4496
675.44354,1068.8468,186.5822
676.46448,750.681,269.7651
