Depth,2023-07-16 05:53:18
898.01105,-35.9682
899.03198,-36.3647
900.05298,-36.8957
901.07391,-64.2432
902.09485,-37.3163
903.11578,-36.5644
904.13678,-37.0699
905.15771,-37.7708
906.17865,-37.2639
907.19965,-34.7958
908.22058,-37.1577
909.24152,-38.1432
910.26245,-36.2358
911.28345,-37.0005
912.30438,-36.747
913.32532,-37.6788
914.34631,-37.5655
915.36725,-36.958
916.38818,-36.7739
917.40912,-37.4763
918.43011,-36.7159
919.45105,-36.3874
920.47198,-37.8005
921.49292,-5.8127
922.51392,-36.7428
923.53485,-36.4907
924.55579,-36.3576
925.57678,-36.09
926.59772,-35.2149
927.61865,-36.5176
928.63959,-36.7343
929.66058,-36.6054
930.68152,-36.5587
931.70245,-36.7768
932.72339,-36.924
933.74438,-36.5459
934.76532,-36.3888
935.78625,-36.4043
936.80725,-36.6989
937.82819,-70.7583
938.84912,-36.9368
939.87006,-36.7654
940.89105,-36.6748
941.91199,-36.0971
942.93292,-36.0886
943.95392,-36.6621
944.97485,-36.8943
945.99579,-37.5811
947.01672,-52.0853
948.03772,-37.363
949.05865,-36.5983
950.07959,-37.1662
951.10052,-37.0231
952.12152,-4.6998
953.14246,-36.4964
954.16339,-36.6507
955.18439,-59.1059
956.20532,-36.6521
957.22626,-37.1208
958.24719,-36.9453
959.26819,-36.7668
960.28912,-36.8844
961.31006,-36.6536
962.33105,-36.6111
963.35199,-36.3038
964.37292,-36.6309
965.39386,-37.1874
966.41486,-36.1863
967.43579,-2.066
968.45673,-8.649
969.47766,-36.2783
970.49866,-36.6097
971.51959,-36.4072
972.54053,-35.137
973.56152,-35.7332
974.58246,-36.4638
975.60339,-35.3735
976.62433,-36.4043
977.64532,-36.9948
978.66626,-50.5008
979.68719,-36.0022
980.70819,-36.1226
981.72913,-36.706
982.75006,-36.5445
983.771,-35.7232
984.79199,-36.553
985.81293,-35.8748
986.83386,-36.3265
987.8548,-36.2627
988.87579,-36.3024
989.89673,-35.804
990.91766,-36.5134
991.93866,-36.3944
992.95959,-35.7431
993.98053,-36.2075
995.00146,-35.9286
996.02246,-36.0872
997.0434,-35.7388
998.06433,-36.924
999.08533,-62.4081
1000.10626,-35.9116
1001.1272,-35.9243
1002.14813,-36.0064
1003.16913,-35.5802
1004.19006,-36.2231
1005.211,-35.4769
1006.23193,-36.0178
1007.25293,-35.736
1008.27386,-35.7955
1009.2948,-36.0376
1010.3158,-35.4754
1011.33673,-27.8304
1012.35767,-35.7771
1013.3786,-35.6652
1014.3996,-35.7289
1015.42053,-36.0687
1016.44147,-35.0082
1017.46246,-36.0135
1018.4834,-35.8634
1019.50433,-35.3593
1020.52527,-35.171
1021.54626,-35.5462
1022.5672,-35.2715
1023.58813,-69.1186
1024.60913,-34.9119
1025.63,-35.2206
1026.651,-35.9059
1027.672,-35.0634
1028.69287,-35.0039
1029.71387,-34.8368
1030.73486,-35.5193
1031.75574,-35.9965
1032.77673,-36.4383
1033.79761,-35.4216
1034.8186,-35.8054
1035.8396,-35.4103
1036.86047,-35.348
1037.88147,-35.0492
1038.90247,-35.7657
1039.92334,-35.2687
1040.94434,-35.9385
1041.96533,-35.9965
1042.98621,-35.1682
